,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Cluster
26,27,2011-01-27,springer,2011,1,0,4,1,Clear/Cloudy,8.0,11.0,68.8,7.6,15,416,431,Cuaca dingin
27,28,2011-01-28,springer,2011,1,0,5,1,Mist,8.3,11.2,79.3,8.3,38,1129,1167,Cuaca dingin
28,29,2011-01-29,springer,2011,1,0,6,0,Clear/Cloudy,8.1,10.6,65.2,9.7,123,975,1098,Cuaca dingin
29,30,2011-01-30,springer,2011,1,0,0,0,Clear/Cloudy,8.9,12.5,72.2,5.0,140,956,1096,Cuaca dingin
30,31,2011-01-31,springer,2011,1,0,1,1,Mist,7.4,9.3,60.4,12.5,42,1459,1501,Cuaca dingin
31,32,2011-02-01,springer,2011,2,0,2,1,Mist,7.9,11.7,83.0,3.6,47,1313,1360,Cuaca dingin
32,33,2011-02-02,springer,2011,2,0,3,1,Mist,10.7,12.7,77.5,17.7,72,1454,1526,Cuaca dingin
33,34,2011-02-03,springer,2011,2,0,4,1,Clear/Cloudy,7.7,8.9,43.8,18.6,61,1489,1550,Cuaca dingin
34,35,2011-02-04,springer,2011,2,0,5,1,Mist,8.7,11.4,58.5,8.6,88,1620,1708,Cuaca dingin
35,36,2011-02-05,springer,2011,2,0,6,0,Mist,9.6,12.2,92.9,10.8,100,905,1005,Cuaca dingin
36,37,2011-02-06,springer,2011,2,0,0,0,Clear/Cloudy,11.7,14.6,56.8,9.5,354,1269,1623,Cuaca dingin
37,38,2011-02-07,springer,2011,2,0,1,1,Clear/Cloudy,11.1,15.2,73.8,3.0,120,1592,1712,Cuaca dingin
38,39,2011-02-08,springer,2011,2,0,2,1,Clear/Cloudy,9.1,9.9,53.8,24.3,64,1466,1530,Cuaca dingin
39,40,2011-02-09,springer,2011,2,0,3,1,Mist,5.5,7.2,49.5,12.7,53,1552,1605,Cuaca dingin
40,41,2011-02-10,springer,2011,2,0,4,1,Clear/Cloudy,5.9,7.5,43.7,14.9,47,1491,1538,Cuaca dingin
41,42,2011-02-11,springer,2011,2,0,5,1,Clear/Cloudy,7.8,10.7,50.6,7.3,149,1597,1746,Cuaca dingin
42,43,2011-02-12,springer,2011,2,0,6,0,Clear/Cloudy,9.1,11.6,54.4,13.6,288,1184,1472,Cuaca dingin
43,44,2011-02-13,springer,2011,2,0,0,0,Clear/Cloudy,13.0,16.2,45.7,17.5,397,1192,1589,Cuaca dingin
44,45,2011-02-14,springer,2011,2,0,1,1,Clear/Cloudy,17.0,19.9,37.6,28.0,208,1705,1913,Transportasi Kerja/Sekolah
45,46,2011-02-15,springer,2011,2,0,2,1,Clear/Cloudy,10.9,12.7,31.4,19.5,140,1675,1815,Cuaca dingin
46,47,2011-02-16,springer,2011,2,0,3,1,Clear/Cloudy,13.0,15.8,42.3,16.9,218,1897,2115,Cuaca dingin
47,48,2011-02-17,springer,2011,2,0,4,1,Clear/Cloudy,17.9,21.4,50.5,15.4,259,2216,2475,Transportasi Kerja/Sekolah
48,49,2011-02-18,springer,2011,2,0,5,1,Clear/Cloudy,21.4,25.6,51.7,17.7,579,2348,2927,Transportasi Kerja/Sekolah
49,50,2011-02-19,springer,2011,2,0,6,0,Clear/Cloudy,16.4,19.6,18.8,34.0,532,1103,1635,Rekreasi dan Liburan
50,51,2011-02-20,springer,2011,2,0,0,0,Clear/Cloudy,11.7,13.9,40.8,15.0,639,1173,1812,Cuaca dingin
51,52,2011-02-21,springer,2011,2,1,1,0,Mist,12.4,14.2,60.5,20.6,195,912,1107,Cuaca dingin
52,53,2011-02-22,springer,2011,2,0,2,1,Clear/Cloudy,7.5,9.3,57.8,13.1,74,1376,1450,Cuaca dingin
53,54,2011-02-23,springer,2011,2,0,3,1,Clear/Cloudy,9.1,12.3,42.3,6.3,139,1778,1917,Cuaca dingin
54,55,2011-02-24,springer,2011,2,0,4,1,Mist,12.1,14.5,69.7,16.8,100,1707,1807,Cuaca dingin
55,56,2011-02-25,springer,2011,2,0,5,1,Mist,14.9,17.5,71.2,23.2,120,1341,1461,Transportasi Kerja/Sekolah
56,57,2011-02-26,springer,2011,2,0,6,0,Clear/Cloudy,11.6,14.1,53.8,12.5,424,1545,1969,Cuaca dingin
57,58,2011-02-27,springer,2011,2,0,0,0,Clear/Cloudy,14.1,17.6,68.0,8.4,694,1708,2402,Rekreasi dan Liburan
58,59,2011-02-28,springer,2011,2,0,1,1,Mist,16.7,20.0,87.6,19.4,81,1365,1446,Transportasi Kerja/Sekolah
59,60,2011-03-01,springer,2011,3,0,2,1,Clear/Cloudy,10.9,13.2,53.5,14.5,137,1714,1851,Cuaca dingin
60,61,2011-03-02,springer,2011,3,0,3,1,Clear/Cloudy,13.7,16.0,45.0,20.6,231,1903,2134,Cuaca dingin
61,62,2011-03-03,springer,2011,3,0,4,1,Clear/Cloudy,8.1,10.0,31.8,15.1,123,1562,1685,Cuaca dingin
62,63,2011-03-04,springer,2011,3,0,5,1,Mist,10.7,12.8,61.0,13.6,214,1730,1944,Cuaca dingin
63,64,2011-03-05,springer,2011,3,0,6,0,Mist,15.8,18.9,78.9,16.9,640,1437,2077,Rekreasi dan Liburan
64,65,2011-03-06,springer,2011,3,0,0,0,Mist,15.4,18.3,94.8,23.0,114,491,605,Rekreasi dan Liburan
65,66,2011-03-07,springer,2011,3,0,1,1,Clear/Cloudy,10.7,11.9,55.1,22.9,244,1628,1872,Cuaca dingin
66,67,2011-03-08,springer,2011,3,0,2,1,Clear/Cloudy,12.0,15.1,42.1,8.1,316,1817,2133,Cuaca dingin
67,68,2011-03-09,springer,2011,3,0,3,1,Mist,12.1,14.3,77.5,14.8,191,1700,1891,Cuaca dingin
68,69,2011-03-10,springer,2011,3,0,4,1,Light Rain,16.0,19.3,0.0,17.5,46,577,623,Cuaca Buruk
69,70,2011-03-11,springer,2011,3,0,5,1,Mist,13.0,15.2,65.0,15.6,247,1730,1977,Cuaca dingin
70,71,2011-03-12,springer,2011,3,0,6,0,Clear/Cloudy,13.5,16.3,59.5,14.8,724,1408,2132,Cuaca dingin
71,72,2011-03-13,springer,2011,3,0,0,0,Clear/Cloudy,15.8,19.0,52.7,18.1,982,1435,2417,Rekreasi dan Liburan
72,73,2011-03-14,springer,2011,3,0,1,1,Clear/Cloudy,13.3,16.6,49.7,9.2,359,1687,2046,Cuaca dingin
73,74,2011-03-15,springer,2011,3,0,2,1,Mist,13.0,15.9,65.6,12.3,289,1767,2056,Cuaca dingin
74,75,2011-03-16,springer,2011,3,0,3,1,Mist,15.0,18.3,77.7,13.6,321,1871,2192,Transportasi Kerja/Sekolah
75,76,2011-03-17,springer,2011,3,0,4,1,Clear/Cloudy,17.0,20.5,60.3,14.0,424,2320,2744,Transportasi Kerja/Sekolah
76,77,2011-03-18,springer,2011,3,0,5,1,Clear/Cloudy,22.1,26.4,52.5,15.5,884,2355,3239,Transportasi Kerja/Sekolah
77,78,2011-03-19,springer,2011,3,0,6,0,Clear/Cloudy,19.4,23.3,37.9,24.7,1424,1693,3117,Rekreasi dan Liburan
78,79,2011-03-20,springer,2011,3,0,0,0,Clear/Cloudy,13.6,16.3,47.4,13.9,1047,1424,2471,Cuaca dingin
79,80,2011-03-21,summer,2011,3,0,1,1,Mist,17.6,20.5,73.7,19.3,401,1676,2077,Transportasi Kerja/Sekolah
80,81,2011-03-22,summer,2011,3,0,2,1,Clear/Cloudy,18.1,22.0,62.5,15.1,460,2243,2703,Transportasi Kerja/Sekolah
81,82,2011-03-23,summer,2011,3,0,3,1,Mist,14.2,16.9,84.0,15.7,203,1918,2121,Transportasi Kerja/Sekolah
82,83,2011-03-24,summer,2011,3,0,4,1,Mist,11.7,13.5,80.6,16.3,166,1699,1865,Cuaca dingin
83,84,2011-03-25,summer,2011,3,0,5,1,Clear/Cloudy,10.8,12.8,49.5,15.5,300,1910,2210,Cuaca dingin
84,85,2011-03-26,summer,2011,3,0,6,0,Clear/Cloudy,10.9,12.9,39.4,14.0,981,1515,2496,Cuaca dingin
85,86,2011-03-27,summer,2011,3,0,0,0,Mist,10.4,12.5,49.4,12.3,472,1221,1693,Cuaca dingin
86,87,2011-03-28,summer,2011,3,0,1,1,Clear/Cloudy,10.8,12.9,30.2,14.2,222,1806,2028,Cuaca dingin
87,88,2011-03-29,summer,2011,3,0,2,1,Clear/Cloudy,12.4,14.6,31.4,15.2,317,2108,2425,Cuaca dingin
88,89,2011-03-30,summer,2011,3,0,3,1,Mist,12.3,14.9,64.7,11.6,168,1368,1536,Cuaca dingin
89,90,2011-03-31,summer,2011,3,0,4,1,Light Rain,11.0,12.9,91.8,14.6,179,1506,1685,Cuaca Buruk
90,91,2011-04-01,summer,2011,4,0,5,1,Mist,12.3,14.2,68.6,17.3,307,1920,2227,Cuaca dingin
91,92,2011-04-02,summer,2011,4,0,6,0,Mist,12.9,15.8,65.4,13.2,898,1354,2252,Cuaca dingin
92,93,2011-04-03,summer,2011,4,0,0,0,Clear/Cloudy,15.5,18.9,48.0,12.2,1651,1598,3249,Rekreasi dan Liburan
93,94,2011-04-04,summer,2011,4,0,1,1,Clear/Cloudy,23.5,27.1,42.6,25.8,734,2381,3115,Transportasi Kerja/Sekolah
94,95,2011-04-05,summer,2011,4,0,2,1,Mist,17.0,19.9,64.2,26.0,167,1628,1795,Transportasi Kerja/Sekolah
95,96,2011-04-06,summer,2011,4,0,3,1,Clear/Cloudy,16.0,19.4,47.1,17.6,413,2395,2808,Transportasi Kerja/Sekolah
96,97,2011-04-07,summer,2011,4,0,4,1,Clear/Cloudy,17.9,21.7,60.3,10.9,571,2570,3141,Transportasi Kerja/Sekolah
97,98,2011-04-08,summer,2011,4,0,5,1,Mist,13.8,16.2,83.6,15.2,172,1299,1471,Cuaca dingin
98,99,2011-04-09,summer,2011,4,0,6,0,Mist,14.0,17.1,87.8,8.9,879,1576,2455,Rekreasi dan Liburan
99,100,2011-04-10,summer,2011,4,0,0,0,Mist,17.5,21.3,85.8,9.8,1188,1707,2895,Rekreasi dan Liburan
100,101,2011-04-11,summer,2011,4,0,1,1,Mist,24.4,28.3,71.7,21.7,855,2493,3348,Transportasi Kerja/Sekolah
101,102,2011-04-12,summer,2011,4,0,2,1,Mist,20.6,24.7,73.9,18.4,257,1777,2034,Transportasi Kerja/Sekolah
102,103,2011-04-13,summer,2011,4,0,3,1,Mist,16.9,20.9,81.9,16.8,209,1953,2162,Transportasi Kerja/Sekolah
103,104,2011-04-14,summer,2011,4,0,4,1,Clear/Cloudy,19.2,23.1,54.0,7.4,529,2738,3267,Transportasi Kerja/Sekolah
104,105,2011-04-15,summer,2011,4,1,5,0,Clear/Cloudy,18.3,22.1,67.1,15.2,642,2484,3126,Rekreasi dan Liburan
105,106,2011-04-16,summer,2011,4,0,6,0,Light Rain,17.7,21.3,88.8,22.8,121,674,795,Cuaca Buruk
106,107,2011-04-17,summer,2011,4,0,0,0,Clear/Cloudy,18.7,22.3,48.0,20.3,1558,2186,3744,Rekreasi dan Liburan
107,108,2011-04-18,summer,2011,4,0,1,1,Clear/Cloudy,21.0,25.2,54.2,11.0,669,2760,3429,Transportasi Kerja/Sekolah
108,109,2011-04-19,summer,2011,4,0,2,1,Mist,20.7,24.5,66.6,10.6,409,2795,3204,Transportasi Kerja/Sekolah
109,110,2011-04-20,summer,2011,4,0,3,1,Clear/Cloudy,24.4,28.2,61.4,16.2,613,3331,3944,Transportasi Kerja/Sekolah
110,111,2011-04-21,summer,2011,4,0,4,1,Clear/Cloudy,18.8,22.7,40.7,21.8,745,3444,4189,Transportasi Kerja/Sekolah
111,112,2011-04-22,summer,2011,4,0,5,1,Mist,13.8,16.1,73.0,14.7,177,1506,1683,Cuaca dingin
112,113,2011-04-23,summer,2011,4,0,6,0,Mist,18.9,22.5,88.8,15.5,1462,2574,4036,Rekreasi dan Liburan
113,114,2011-04-24,summer,2011,4,0,0,0,Mist,23.8,27.6,81.1,12.9,1710,2481,4191,Rekreasi dan Liburan
114,115,2011-04-25,summer,2011,4,0,1,1,Clear/Cloudy,24.9,28.7,77.7,12.4,773,3300,4073,Transportasi Kerja/Sekolah
115,116,2011-04-26,summer,2011,4,0,2,1,Clear/Cloudy,25.9,29.7,72.9,21.9,678,3722,4400,Transportasi Kerja/Sekolah
116,117,2011-04-27,summer,2011,4,0,3,1,Mist,25.4,28.8,83.5,20.9,547,3325,3872,Transportasi Kerja/Sekolah
117,118,2011-04-28,summer,2011,4,0,4,1,Mist,25.3,28.9,70.1,21.5,569,3489,4058,Transportasi Kerja/Sekolah
118,119,2011-04-29,summer,2011,4,0,5,1,Clear/Cloudy,20.9,24.9,45.7,16.1,878,3717,4595,Transportasi Kerja/Sekolah
119,120,2011-04-30,summer,2011,4,0,6,0,Clear/Cloudy,19.4,23.2,50.3,15.8,1965,3347,5312,Rekreasi dan Liburan
120,121,2011-05-01,summer,2011,5,0,0,0,Mist,18.5,22.4,76.2,7.1,1138,2213,3351,Rekreasi dan Liburan
121,122,2011-05-02,summer,2011,5,0,1,1,Mist,22.5,26.6,73.0,12.3,847,3554,4401,Transportasi Kerja/Sekolah
122,123,2011-05-03,summer,2011,5,0,2,1,Mist,25.3,29.1,69.7,23.0,603,3848,4451,Transportasi Kerja/Sekolah
123,124,2011-05-04,summer,2011,5,0,3,1,Mist,17.0,20.2,73.7,22.0,255,2378,2633,Transportasi Kerja/Sekolah
124,125,2011-05-05,summer,2011,5,0,4,1,Clear/Cloudy,18.8,22.1,44.4,19.8,614,3819,4433,Transportasi Kerja/Sekolah
125,126,2011-05-06,summer,2011,5,0,5,1,Clear/Cloudy,19.6,23.7,59.0,15.3,894,3714,4608,Transportasi Kerja/Sekolah
126,127,2011-05-07,summer,2011,5,0,6,0,Clear/Cloudy,21.3,25.6,54.1,10.8,1612,3102,4714,Rekreasi dan Liburan
127,128,2011-05-08,summer,2011,5,0,0,0,Clear/Cloudy,21.7,25.9,63.2,5.0,1401,2932,4333,Rekreasi dan Liburan
128,129,2011-05-09,summer,2011,5,0,1,1,Clear/Cloudy,21.8,26.3,58.9,11.8,664,3698,4362,Transportasi Kerja/Sekolah
129,130,2011-05-10,summer,2011,5,0,2,1,Clear/Cloudy,21.8,26.1,48.9,7.7,694,4109,4803,Transportasi Kerja/Sekolah
130,131,2011-05-11,summer,2011,5,0,3,1,Clear/Cloudy,22.2,26.4,63.3,8.1,550,3632,4182,Transportasi Kerja/Sekolah
131,132,2011-05-12,summer,2011,5,0,4,1,Clear/Cloudy,21.9,26.2,74.8,12.7,695,4169,4864,Transportasi Kerja/Sekolah
132,133,2011-05-13,summer,2011,5,0,5,1,Mist,21.0,24.7,86.3,12.0,692,3413,4105,Transportasi Kerja/Sekolah
133,134,2011-05-14,summer,2011,5,0,6,0,Mist,21.4,25.0,92.2,9.0,902,2507,3409,Rekreasi dan Liburan
134,135,2011-05-15,summer,2011,5,0,0,0,Mist,23.1,26.8,86.7,10.2,1582,2971,4553,Rekreasi dan Liburan
135,136,2011-05-16,summer,2011,5,0,1,1,Clear/Cloudy,23.7,27.5,78.8,8.5,773,3185,3958,Transportasi Kerja/Sekolah
136,137,2011-05-17,summer,2011,5,0,2,1,Mist,23.0,26.9,83.8,18.6,678,3445,4123,Transportasi Kerja/Sekolah
137,138,2011-05-18,summer,2011,5,0,3,1,Mist,22.6,26.4,87.0,13.5,536,3319,3855,Transportasi Kerja/Sekolah
138,139,2011-05-19,summer,2011,5,0,4,1,Mist,21.8,25.5,83.0,7.3,735,3840,4575,Transportasi Kerja/Sekolah
139,140,2011-05-20,summer,2011,5,0,5,1,Clear/Cloudy,22.0,26.5,72.0,8.4,909,4008,4917,Transportasi Kerja/Sekolah
140,141,2011-05-21,summer,2011,5,0,6,0,Clear/Cloudy,24.7,28.6,62.7,8.1,2258,3547,5805,Rekreasi dan Liburan
141,142,2011-05-22,summer,2011,5,0,0,0,Clear/Cloudy,24.8,28.7,75.0,9.9,1576,3084,4660,Rekreasi dan Liburan
142,143,2011-05-23,summer,2011,5,0,1,1,Mist,25.9,29.5,81.0,15.7,836,3438,4274,Transportasi Kerja/Sekolah
143,144,2011-05-24,summer,2011,5,0,2,1,Mist,27.1,30.2,74.1,13.9,659,3833,4492,Transportasi Kerja/Sekolah
144,145,2011-05-25,summer,2011,5,0,3,1,Clear/Cloudy,27.1,30.8,69.6,10.3,740,4238,4978,Transportasi Kerja/Sekolah
145,146,2011-05-26,summer,2011,5,0,4,1,Clear/Cloudy,29.0,32.7,67.8,13.4,758,3919,4677,Transportasi Kerja/Sekolah
146,147,2011-05-27,summer,2011,5,0,5,1,Clear/Cloudy,27.9,31.9,65.4,16.1,871,3808,4679,Transportasi Kerja/Sekolah
147,148,2011-05-28,summer,2011,5,0,6,0,Clear/Cloudy,26.9,30.6,73.0,15.4,2001,2757,4758,Rekreasi dan Liburan
148,149,2011-05-29,summer,2011,5,0,0,0,Clear/Cloudy,27.4,30.8,81.9,14.3,2355,2433,4788,Rekreasi dan Liburan
149,150,2011-05-30,summer,2011,5,1,1,0,Clear/Cloudy,30.1,33.6,68.5,8.8,1549,2549,4098,Rekreasi dan Liburan
150,151,2011-05-31,summer,2011,5,0,2,1,Clear/Cloudy,31.8,36.3,63.7,7.5,673,3309,3982,Transportasi Kerja/Sekolah
151,152,2011-06-01,summer,2011,6,0,3,1,Mist,31.3,36.0,67.7,13.9,513,3461,3974,Transportasi Kerja/Sekolah
152,153,2011-06-02,summer,2011,6,0,4,1,Clear/Cloudy,29.3,32.2,30.5,19.6,736,4232,4968,Transportasi Kerja/Sekolah
153,154,2011-06-03,summer,2011,6,0,5,1,Clear/Cloudy,25.4,29.4,35.4,17.0,898,4414,5312,Transportasi Kerja/Sekolah
154,155,2011-06-04,summer,2011,6,0,6,0,Clear/Cloudy,26.0,29.7,45.6,8.3,1869,3473,5342,Rekreasi dan Liburan
155,156,2011-06-05,summer,2011,6,0,0,0,Mist,26.6,30.8,65.2,9.3,1685,3221,4906,Rekreasi dan Liburan
156,157,2011-06-06,summer,2011,6,0,1,1,Clear/Cloudy,27.8,31.1,60.0,8.2,673,3875,4548,Transportasi Kerja/Sekolah
157,158,2011-06-07,summer,2011,6,0,2,1,Clear/Cloudy,29.0,32.8,59.8,12.6,763,4070,4833,Transportasi Kerja/Sekolah
158,159,2011-06-08,summer,2011,6,0,3,1,Clear/Cloudy,31.8,36.4,62.2,9.2,676,3725,4401,Transportasi Kerja/Sekolah
159,160,2011-06-09,summer,2011,6,0,4,1,Mist,33.1,37.9,56.8,10.0,563,3352,3915,Transportasi Kerja/Sekolah
160,161,2011-06-10,summer,2011,6,0,5,1,Clear/Cloudy,31.0,35.2,60.5,9.4,815,3771,4586,Transportasi Kerja/Sekolah
161,162,2011-06-11,summer,2011,6,0,6,0,Clear/Cloudy,29.7,33.9,65.5,10.4,1729,3237,4966,Rekreasi dan Liburan
162,163,2011-06-12,summer,2011,6,0,0,0,Clear/Cloudy,28.4,32.2,74.8,11.0,1467,2993,4460,Rekreasi dan Liburan
163,164,2011-06-13,summer,2011,6,0,1,1,Clear/Cloudy,26.0,30.1,49.5,20.5,863,4157,5020,Transportasi Kerja/Sekolah
164,165,2011-06-14,summer,2011,6,0,2,1,Clear/Cloudy,24.8,29.6,50.7,18.0,727,4164,4891,Transportasi Kerja/Sekolah
165,166,2011-06-15,summer,2011,6,0,3,1,Clear/Cloudy,25.7,29.4,47.2,11.3,769,4411,5180,Transportasi Kerja/Sekolah
166,167,2011-06-16,summer,2011,6,0,4,1,Mist,25.8,29.8,68.8,13.8,545,3222,3767,Transportasi Kerja/Sekolah
167,168,2011-06-17,summer,2011,6,0,5,1,Clear/Cloudy,26.6,30.0,73.6,9.6,863,3981,4844,Transportasi Kerja/Sekolah
168,169,2011-06-18,summer,2011,6,0,6,0,Clear/Cloudy,28.6,32.2,67.0,8.0,1807,3312,5119,Rekreasi dan Liburan
169,170,2011-06-19,summer,2011,6,0,0,0,Mist,28.7,32.3,66.7,6.8,1639,3105,4744,Rekreasi dan Liburan
170,171,2011-06-20,summer,2011,6,0,1,1,Mist,26.0,29.8,74.6,10.4,699,3311,4010,Transportasi Kerja/Sekolah
171,172,2011-06-21,fall,2011,6,0,2,1,Mist,27.9,31.9,77.0,11.5,774,4061,4835,Transportasi Kerja/Sekolah
172,173,2011-06-22,fall,2011,6,0,3,1,Clear/Cloudy,30.1,34.7,70.8,11.5,661,3846,4507,Transportasi Kerja/Sekolah
173,174,2011-06-23,fall,2011,6,0,4,1,Mist,29.9,34.7,70.3,16.0,746,4044,4790,Transportasi Kerja/Sekolah
174,175,2011-06-24,fall,2011,6,0,5,1,Clear/Cloudy,29.7,32.8,57.3,14.9,969,4022,4991,Transportasi Kerja/Sekolah
175,176,2011-06-25,fall,2011,6,0,6,0,Clear/Cloudy,28.5,32.2,48.3,14.0,1782,3420,5202,Rekreasi dan Liburan
176,177,2011-06-26,fall,2011,6,0,0,0,Clear/Cloudy,27.9,31.9,51.3,6.3,1920,3385,5305,Rekreasi dan Liburan
177,178,2011-06-27,fall,2011,6,0,1,1,Mist,28.0,31.9,65.8,7.2,854,3854,4708,Transportasi Kerja/Sekolah
178,179,2011-06-28,fall,2011,6,0,2,1,Clear/Cloudy,30.5,34.6,63.4,9.7,732,3916,4648,Transportasi Kerja/Sekolah
179,180,2011-06-29,fall,2011,6,0,3,1,Clear/Cloudy,29.9,32.7,49.8,17.5,848,4377,5225,Transportasi Kerja/Sekolah
180,181,2011-06-30,fall,2011,6,0,4,1,Clear/Cloudy,28.6,31.9,43.4,12.4,1027,4488,5515,Transportasi Kerja/Sekolah
181,182,2011-07-01,fall,2011,7,0,5,1,Clear/Cloudy,29.6,32.6,39.6,6.9,1246,4116,5362,Transportasi Kerja/Sekolah
182,183,2011-07-02,fall,2011,7,0,6,0,Clear/Cloudy,30.3,33.4,44.5,7.7,2204,2915,5119,Rekreasi dan Liburan
183,184,2011-07-03,fall,2011,7,0,0,0,Mist,29.4,33.4,68.2,15.3,2282,2367,4649,Rekreasi dan Liburan
184,185,2011-07-04,fall,2011,7,1,1,0,Mist,29.8,33.3,63.8,5.5,3065,2978,6043,Rekreasi dan Liburan
185,186,2011-07-05,fall,2011,7,0,2,1,Clear/Cloudy,30.6,34.8,59.0,8.5,1031,3634,4665,Transportasi Kerja/Sekolah
186,187,2011-07-06,fall,2011,7,0,3,1,Clear/Cloudy,29.5,34.3,74.3,10.0,784,3845,4629,Transportasi Kerja/Sekolah
187,188,2011-07-07,fall,2011,7,0,4,1,Clear/Cloudy,30.8,34.3,65.1,10.7,754,3838,4592,Transportasi Kerja/Sekolah
188,189,2011-07-08,fall,2011,7,0,5,1,Mist,29.1,33.5,75.8,15.1,692,3348,4040,Transportasi Kerja/Sekolah
189,190,2011-07-09,fall,2011,7,0,6,0,Clear/Cloudy,30.1,33.2,60.9,11.3,1988,3348,5336,Rekreasi dan Liburan
190,191,2011-07-10,fall,2011,7,0,0,0,Clear/Cloudy,30.6,34.5,57.8,12.3,1743,3138,4881,Rekreasi dan Liburan
191,192,2011-07-11,fall,2011,7,0,1,1,Clear/Cloudy,31.3,36.5,63.6,18.9,723,3363,4086,Transportasi Kerja/Sekolah
192,193,2011-07-12,fall,2011,7,0,2,1,Clear/Cloudy,32.6,37.0,55.9,13.4,662,3596,4258,Transportasi Kerja/Sekolah
193,194,2011-07-13,fall,2011,7,0,3,1,Clear/Cloudy,30.6,34.5,63.2,9.8,748,3594,4342,Transportasi Kerja/Sekolah
194,195,2011-07-14,fall,2011,7,0,4,1,Clear/Cloudy,27.9,31.8,47.6,16.1,888,4196,5084,Transportasi Kerja/Sekolah
195,196,2011-07-15,fall,2011,7,0,5,1,Clear/Cloudy,27.2,31.2,59.1,12.2,1318,4220,5538,Transportasi Kerja/Sekolah
196,197,2011-07-16,fall,2011,7,0,6,0,Clear/Cloudy,28.2,31.9,58.5,14.0,2418,3505,5923,Rekreasi dan Liburan
197,198,2011-07-17,fall,2011,7,0,0,0,Clear/Cloudy,29.5,33.5,60.4,16.4,2006,3296,5302,Rekreasi dan Liburan
198,199,2011-07-18,fall,2011,7,0,1,1,Clear/Cloudy,30.6,35.2,65.1,14.5,841,3617,4458,Transportasi Kerja/Sekolah
